,X,LTE Euler,GTE Euler,LTE Improved Euler,GTE Improved Euler,LTE Runge-Kutta,GTE Runge-Kutta
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.0,0.3431457505076203,0.3431457505076203,0.011102938427789866,0.011102938427789866,0.0012999031167293396,0.0012999031167293396
2,3.0,0.14286458158996496,0.5212865125076682,0.002960916039452144,0.015093713559512167,0.0001283171101498226,0.0015492363855891256
3,4.0,0.0829037686547629,0.6441415559252377,0.0012168992903198728,0.017392554091202328,2.899280896784262e-05,0.0016894583299809085
4,5.0,0.05572809000084078,0.7397312561784268,0.0006212783840595648,0.01903944847603256,9.631474785720684e-06,0.0017987946187965065
5,6.0,0.04074012986636433,0.8191248020645396,0.0003615240369576611,0.02035979686599987,4.0079016407901236e-06,0.001893427489640942
6,7.0,0.03145030780207492,0.8877723086301863,0.00022965847362144132,0.02148729238818703,1.9342393287047344e-06,0.001978876650895245
7,8.0,0.025225691292057206,0.9487473394740746,0.00015537549787225657,0.022487478934287708,1.0369015051026054e-06,0.00205772334962262
8,9.0,0.020815280171305517,1.0039514542464119,0.00011022928707404844,0.023396752069785975,6.012138626942942e-07,0.002131441942026413
9,10.0,0.01755602599314443,1.054643137186055,8.115469880465298e-05,0.02423727742085191,3.704512820945638e-07,0.002200988028306483
10,11.0,0.015067011285594845,1.101699081653308,6.155475669800126e-05,0.02502354515810623,2.3961558071050604e-07,0.0022670337250616512
11,12.0,0.013115390026108287,1.145755124804218,4.784386986500522e-05,0.02576556970104349,1.612576454590453e-07,0.0023300785430038218
12,13.0,0.01155162788469255,1.1872876458445702,3.795473381984493e-05,0.026470587087040087,1.1216567230576402e-07,0.0023905084803672594
13,14.0,0.010275750985421439,1.2266632255617935,3.063631842081804e-05,0.02714401811016387,8.022654895967207e-08,0.0024486305734470193
14,15.0,0.009218646090950244,1.264170334548524,2.5100313045811617e-05,0.027790046127130097,5.877014075394982e-08,0.0025046945685573974
